"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.01010 14117 0 0.9923 1.0000 0.9727 0.9971 0.9971 1.0000 0.9895 0.9727 0.9727 0.9727 0.9727
0.01017 14116 0 0.9922 1.0000 0.9725 0.9971 0.9971 1.0000 0.9895 0.9725 0.9725 0.9725 0.9725
0.01024 14115 0 0.9922 1.0000 0.9724 0.9971 0.9971 1.0000 0.9894 0.9724 0.9724 0.9724 0.9724
0.01031 14114 0 0.9921 1.0000 0.9722 0.9971 0.9971 1.0000 0.9893 0.9722 0.9722 0.9722 0.9722
0.01038 14113 0 0.9920 1.0000 0.9720 0.9971 0.9971 1.0000 0.9893 0.9720 0.9720 0.9720 0.9720
0.01045 14112 0 0.9920 1.0000 0.9718 0.9970 0.9970 1.0000 0.9892 0.9718 0.9718 0.9718 0.9718
0.01052 14111 0 0.9919 1.0000 0.9716 0.9970 0.9970 1.0000 0.9891 0.9716 0.9716 0.9716 0.9716
0.01059 14110 0 0.9919 1.0000 0.9714 0.9970 0.9970 1.0000 0.9890 0.9714 0.9714 0.9714 0.9714
0.01066 14109 0 0.9918 1.0000 0.9713 0.9970 0.9970 1.0000 0.9890 0.9713 0.9713 0.9713 0.9713
0.01073 14108 0 0.9918 1.0000 0.9711 0.9970 0.9970 1.0000 0.9889 0.9711 0.9711 0.9711 0.9711
0.01080 14107 0 0.9917 1.0000 0.9709 0.9969 0.9969 1.0000 0.9888 0.9709 0.9709 0.9709 0.9709
0.01087 14106 0 0.9917 1.0000 0.9707 0.9969 0.9969 1.0000 0.9887 0.9707 0.9707 0.9707 0.9707
0.01094 14105 0 0.9916 1.0000 0.9705 0.9969 0.9969 1.0000 0.9886 0.9705 0.9705 0.9705 0.9705
0.01101 14104 0 0.9916 1.0000 0.9703 0.9969 0.9969 1.0000 0.9886 0.9703 0.9703 0.9703 0.9703
0.01108 14103 0 0.9915 1.0000 0.9701 0.9968 0.9968 1.0000 0.9885 0.9701 0.9701 0.9701 0.9701
0.01115 14102 0 0.9915 1.0000 0.9700 0.9968 0.9968 1.0000 0.9884 0.9700 0.9700 0.9700 0.9700
0.01122 14101 0 0.9914 1.0000 0.9698 0.9968 0.9968 1.0000 0.9883 0.9698 0.9698 0.9698 0.9698
0.01129 14100 0 0.9913 1.0000 0.9696 0.9968 0.9968 1.0000 0.9883 0.9696 0.9696 0.9696 0.9696
0.01136 14099 0 0.9913 1.0000 0.9694 0.9968 0.9968 1.0000 0.9882 0.9694 0.9694 0.9694 0.9694
0.01143 14098 0 0.9912 1.0000 0.9692 0.9967 0.9967 1.0000 0.9881 0.9692 0.9692 0.9692 0.9692
0.01150 14097 0 0.9912 1.0000 0.9690 0.9967 0.9967 1.0000 0.9880 0.9690 0.9690 0.9690 0.9690
0.01157 14096 0 0.9911 1.0000 0.9689 0.9967 0.9967 1.0000 0.9880 0.9689 0.9689 0.9689 0.9689
0.01164 14095 0 0.9911 1.0000 0.9687 0.9967 0.9967 1.0000 0.9879 0.9687 0.9687 0.9687 0.9687
0.01171 14094 0 0.9910 1.0000 0.9685 0.9967 0.9967 1.0000 0.9878 0.9685 0.9685 0.9685 0.9685
0.01178 14093 0 0.9910 1.0000 0.9683 0.9966 0.9966 1.0000 0.9878 0.9683 0.9683 0.9683 0.9683
