"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01916 30255 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01926 30252 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01935 30249 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01945 30246 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01955 30243 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01965 30240 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01974 30237 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01984 30234 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01994 30231 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02004 30228 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02013 30225 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02023 30222 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02033 30219 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02042 30216 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02052 30213 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02062 30210 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02072 30207 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02081 30204 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02091 30201 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02101 30198 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02110 30195 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02120 30192 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02130 30189 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02140 30186 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02149 30183 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02159 30180 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02169 30177 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02179 30174 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02188 30171 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02198 30168 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02208 30165 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02217 30162 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02227 30159 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02237 30156 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
